2024-04-24 16:31:19.483 [Thread-3320] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:21.858 [Thread-3321] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:23.225 [Thread-3322] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:23.921 [Thread-3323] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:26.579 [Thread-3324] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:27.394 [Thread-3325] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:27.585 [Thread-3326] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:27.785 [Thread-3327] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:27.955 [Thread-3328] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:28.121 [Thread-3329] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:28.281 [Thread-3330] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:30.331 [Thread-3331] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:30.972 [Thread-3328] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.013 [Thread-3326] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.033 [Thread-3331] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.033 [Thread-3322] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.054 [Thread-3320] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.054 [Thread-3321] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.054 [Thread-3325] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.055 [Thread-3329] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.055 [Thread-3324] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.073 [Thread-3327] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.073 [Thread-3330] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:31.092 [Thread-3323] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:32.148 [Thread-3328] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.182 [Thread-3326] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.232 [Thread-3331] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.241 [Thread-3329] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.289 [Thread-3321] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.360 [Thread-3320] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.381 [Thread-3322] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.409 [Thread-3325] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.451 [Thread-3330] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.484 [Thread-3324] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.515 [Thread-3327] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:32.527 [Thread-3323] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:35.295 [Thread-3332] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取 uuid ... 
2024-04-24 16:31:35.468 [Thread-3332] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 正在获取二维码 ... 成功

2024-04-24 16:31:36.872 [Thread-3332] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:45.752 [Thread-3332] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:31:57.376 [Thread-3332] DEBUG io.github.biezhi.wechat.api.WechatApi - [*] 请求 => Request{method=GET, url=https://wx2.qq.com/cgi-bin/mmwebwx-bin/webwxnewloginpage?ticket=A53arclGHvTYcJvm16EKxXYk@qrticket_0&uuid=QaB08snrtQ==&lang=zh_CN&scan=1713947505&fun=new&target=t, tags={}}

2024-04-24 16:31:57.638 [Thread-3329] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:57.762 [Thread-3331] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:57.779 [Thread-3326] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:57.779 [Thread-3328] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:57.939 [Thread-3322] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:57.960 [Thread-3320] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.232 [Thread-3325] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.233 [Thread-3321] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.233 [Thread-3330] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.233 [Thread-3327] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.257 [Thread-3323] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.283 [Thread-3324] WARN  io.github.biezhi.wechat.api.WechatApi - [登陆超时] 

2024-04-24 16:31:58.639 [Thread-3329] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:58.764 [Thread-3331] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:58.780 [Thread-3326] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:58.782 [Thread-3328] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:58.940 [Thread-3322] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:58.961 [Thread-3320] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.234 [Thread-3321] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.234 [Thread-3325] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.234 [Thread-3330] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.234 [Thread-3327] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.259 [Thread-3323] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:31:59.285 [Thread-3324] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请使用微信扫描二维码以登录 ... 

2024-04-24 16:32:08.918 [Thread-3327] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.974 [Thread-3329] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.975 [Thread-3328] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.975 [Thread-3322] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.975 [Thread-3326] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.975 [Thread-3330] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:08.989 [Thread-3323] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:09.008 [Thread-3331] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

2024-04-24 16:32:09.032 [Thread-3321] INFO  io.github.biezhi.wechat.api.WechatClient - [*] 请在手机上点击确认以登录 ... 

